Match_ID,Date,Time,League,Round,Home,Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2
dIjJY36e,13/01/2026,09:00,IRAQ 1,Round 12,Diyala,Al Zawraa,Betano.br,4.35,1.91,2.65,Betano.br,3.7,3.1,1.95,Betano.br,1.5,2.18,BetEsporte,2.95,1.24,BetEsporte,7.4,1.04,BetEsporte,1.07,6.4,Estrelabet,1.45,2.54,Betano.br,2.25,1.5,Estrelabet,4.5,1.15,BetEsporte,6.4,1.04,Estrelabet,2.2,1.6,Betano.br,1.7,1.3,1.23
pvXDfoTE,13/01/2026,11:30,IRAQ 1,Round 12,Al-Karma,Al-Qassim,Estrelabet,1.37,3.0,14.0,Betano.br,1.14,6.3,13.5,BetEsporte,1.17,3.75,Estrelabet,2.05,1.7,BetEsporte,3.75,1.16,BetEsporte,1.01,17.0,BetEsporte,1.11,4.5,Estrelabet,1.4,2.71,Betano.br,2.02,1.62,Estrelabet,3.33,1.28,Estrelabet,2.71,1.4,Betano.br,1.03,1.08,3.55
IXvSWsy8,13/01/2026,11:30,IRAQ 1,Round 12,Baghdad,Al Quwa Al Jawiya,Betano.br,4.5,1.85,2.7,Betano.br,3.8,2.92,1.98,Betano.br,1.53,2.1,BetEsporte,3.05,1.23,BetEsporte,7.8,1.03,Superbet.br,1.07,5.65,Betano.br,1.47,2.35,Estrelabet,2.54,1.45,Estrelabet,5.0,1.14,BetEsporte,6.6,1.03,Estrelabet,2.28,1.55,Betano.br,1.67,1.33,1.22
t6QMhPcR,13/01/2026,11:30,IRAQ 1,Round 12,Erbil,Duhok,Betano.br,2.75,1.82,4.6,Betano.br,2.0,2.87,3.8,Betano.br,1.57,2.02,BetEsporte,3.25,1.2,BetEsporte,8.6,1.02,Superbet.br,1.1,4.9,Betano.br,1.52,2.2,Estrelabet,2.54,1.45,Estrelabet,5.0,1.14,BetEsporte,7.0,1.02,Estrelabet,2.2,1.6,Betano.br,1.22,1.34,1.65
WU1movQc,13/01/2026,14:00,ISRAEL CUP,1/8-finals,Bnei Yehuda,M. Herzliya,Betfair,2.88,2.1,3.5,Betfair,2.2,3.25,2.8,Betfair,1.36,2.88,Betfair,2.88,1.36,Betfair,8.0,1.05,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.6,1.25,Betfair,7.0,1.07,Betfair,1.73,2.0,Betfair,1.36,1.3,1.57
4O91NzYj,13/01/2026,14:30,ISRAEL CUP,1/8-finals,Hapoel Petah Tikva,Maccabi Bnei Raina,Betfair,2.0,2.4,5.0,Betfair,1.5,4.0,5.0,Betfair,1.25,3.6,Betfair,2.25,1.57,Betfair,5.5,1.11,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betfair,4.5,1.17,Betfair,1.6,2.2,Betfair,1.13,1.2,2.4
6DaMWvB4,13/01/2026,14:45,ISRAEL CUP,1/8-finals,Netanya,Maccabi Jaffa,Betfair,1.91,2.5,5.5,Betfair,1.4,4.4,6.0,Betfair,1.22,3.8,Betfair,2.25,1.57,Betfair,5.5,1.11,Betfair,1.01,17.0,Betfair,1.13,5.2,Betfair,1.5,2.4,Betfair,2.4,1.5,Betfair,4.0,1.2,Betfair,1.65,2.1,Betfair,1.1,1.17,2.7
CQUMUIuH,13/01/2026,15:00,ISRAEL CUP,1/8-finals,H. Beer Sheva,Hapoel Jerusalem,Betfair,1.57,2.88,8.0,Betfair,1.18,6.0,10.5,Betfair,1.2,4.0,Betfair,2.1,1.65,Betfair,4.8,1.14,BetEsporte,1.01,17.0,Betfair,1.11,5.5,Betfair,1.4,2.75,Betfair,2.1,1.65,Estrelabet,3.1,1.26,Betfair,1.85,1.85,Betfair,1.04,1.1,4.2
25lpaYS6,13/01/2026,10:00,MALAYSIA 1,Round 16,Kelantan The Real Warriors,Sabah,Betfair,3.4,2.38,2.5,Betfair,3.0,3.5,2.05,Betfair,1.25,3.5,Betfair,2.25,1.57,Betfair,5.0,1.14,Betfair,1.01,13.0,Betfair,1.13,5.2,Betfair,1.5,2.4,Betfair,2.4,1.5,Betfair,4.5,1.17,Betfair,1.45,2.55,Betfair,1.62,1.22,1.3
juvpPeMG,13/01/2026,10:00,MALAYSIA 1,Round 16,Terengganu,DPMM,Betfair,1.67,2.88,6.0,Betfair,1.29,5.0,7.0,Betfair,1.17,4.5,Betfair,1.91,1.8,Betfair,3.75,1.22,BetEsporte,1.01,21.0,Betfair,1.06,7.5,Betfair,1.3,3.2,Betfair,1.85,1.85,Betfair,2.88,1.36,Betfair,1.57,2.25,Betfair,1.06,1.11,3.25
